shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-25.14,-88.40,28.00,68.53,91.21,3.10
-17.58,-88.84,28.00,68.53,91.21,3.10
-11.25,-88.92,28.00,68.53,91.21,3.10
-6.51,-89.01,28.00,68.53,91.21,3.10
-3.25,-89.01,27.82,68.53,91.21,3.10
-2.37,-89.01,27.82,68.53,91.21,3.10
-2.46,-88.57,27.82,68.53,91.21,3.10
-2.46,-88.13,27.82,68.53,91.21,3.10
-2.29,-86.29,28.18,68.53,91.21,3.10
-2.29,-81.36,28.26,68.53,91.21,3.10
-2.37,-72.92,27.82,68.53,91.30,3.10
-2.46,-64.04,25.71,68.44,91.47,3.10
-2.55,-55.87,21.14,68.53,91.47,3.10
-2.55,-48.40,13.76,68.53,91.47,3.10
-2.55,-40.57,4.53,68.53,91.47,3.10
-2.55,-31.87,-5.32,68.18,91.47,3.10
-2.46,-22.46,-15.16,68.18,91.47,3.10
-2.46,-12.44,-24.22,68.35,91.47,3.10
-2.46,-2.07,-32.48,68.18,91.38,3.10
-2.46,7.78,-40.31,68.09,91.21,3.10
-2.46,16.75,-47.87,68.00,91.12,3.10
-2.46,24.92,-54.81,68.00,90.95,3.10
-2.46,32.04,-60.70,68.18,90.68,3.10
-2.46,38.20,-65.54,68.44,90.68,3.10
-2.46,43.38,-68.70,68.62,90.68,3.10
-2.46,47.34,-70.20,68.62,90.68,3.10
-2.46,50.42,-70.29,68.53,90.59,3.10
-2.46,52.09,-70.29,68.62,90.59,3.10
-2.46,52.88,-70.20,68.62,90.59,3.10
-2.46,53.14,-70.20,68.70,90.59,3.10
-2.29,53.23,-70.20,68.70,90.59,3.10
-2.20,53.32,-70.20,68.70,90.59,3.10
-2.20,53.49,-70.11,69.32,90.59,3.10
-2.37,53.58,-70.11,71.08,90.59,3.10
-2.37,53.58,-70.11,73.45,90.59,3.10
-2.37,53.58,-70.11,75.65,90.59,3.10
-2.37,53.67,-70.11,76.35,90.68,3.10
-2.37,53.76,-70.11,76.70,90.68,3.10
-2.37,54.02,-70.02,76.79,90.68,3.10
-2.37,55.25,-70.11,76.79,90.77,3.10
-2.37,56.75,-70.37,76.44,90.77,3.10
-2.37,57.71,-70.46,76.35,90.77,3.10
-2.37,57.89,-70.55,76.26,90.77,3.10
-2.37,57.54,-70.55,76.26,90.77,3.10
-2.37,57.45,-70.55,76.26,90.77,3.10
-2.37,57.45,-70.64,76.26,90.77,3.10
-2.37,57.45,-70.64,76.26,90.77,3.10
-2.37,57.45,-70.64,76.18,90.77,3.10
-2.37,57.63,-70.64,76.18,90.77,3.10
-2.37,57.80,-70.64,76.18,90.86,3.16
-2.46,57.80,-70.64,76.18,90.86,3.22
-2.46,57.63,-70.64,76.18,91.12,3.41
-2.46,57.45,-70.64,76.18,91.21,4.33
-2.37,57.45,-70.64,76.18,91.21,6.56
-2.29,57.45,-70.64,76.18,91.21,10.09
-2.20,57.45,-70.64,76.18,90.86,14.61
-2.02,57.54,-70.73,76.09,90.77,19.44
-2.02,57.54,-70.73,76.09,90.77,23.96
-2.02,57.54,-70.73,76.09,90.77,27.74
-1.93,57.54,-70.73,76.09,90.77,30.96
-1.93,57.63,-70.73,76.00,90.77,33.19
-1.93,57.63,-70.73,75.82,90.77,34.67
-1.93,57.63,-70.73,75.38,90.86,35.48
-1.93,57.63,-70.73,75.12,90.86,35.60
-1.93,57.80,-70.73,74.95,90.86,35.60
-2.11,57.89,-70.73,74.95,90.86,35.60
-2.20,57.89,-70.73,74.95,90.86,35.60
-2.20,57.89,-70.73,74.95,90.86,35.60
-2.20,57.89,-70.73,74.95,90.86,35.60
-2.20,57.89,-70.73,74.95,90.86,35.60
-2.11,57.89,-70.73,74.86,90.86,35.60
-2.02,57.89,-70.73,74.86,90.86,35.60
-2.02,57.89,-70.73,74.86,90.86,35.60
-2.11,57.63,-70.73,74.95,90.86,35.60
-2.20,57.54,-70.73,75.30,90.86,35.60
-2.02,57.27,-70.73,75.56,90.95,35.60
-2.02,56.04,-70.90,75.56,91.03,35.60
-1.93,51.65,-70.81,75.82,90.95,35.60
-1.93,45.23,-70.64,76.97,90.86,35.60
-1.93,38.20,-70.46,79.87,91.12,35.60
-2.11,31.34,-70.29,83.82,91.12,35.60
-2.20,25.54,-70.20,89.01,91.12,35.60
-2.29,20.35,-70.20,95.69,91.12,35.60
-2.29,15.43,-70.37,102.73,91.12,35.60
-1.93,9.89,-70.02,106.51,90.95,35.60
-1.93,2.51,-69.76,105.80,91.12,35.60
-1.93,-3.82,-68.88,105.36,91.12,35.60
-1.93,-9.80,-67.65,105.36,91.12,35.60
-1.93,-15.60,-66.07,105.36,91.12,35.60
-1.93,-21.93,-63.78,105.36,91.12,35.60
-1.93,-28.44,-60.35,105.36,91.12,35.60
-1.93,-35.12,-55.25,105.36,91.12,35.60
-1.93,-41.98,-48.13,105.27,91.12,35.60
-1.93,-49.19,-39.43,105.27,91.12,35.60
-1.93,-57.10,-29.05,105.27,91.12,35.60
-1.93,-64.75,-17.89,105.19,91.03,35.60
-1.93,-71.87,-6.73,105.10,90.86,35.60
-1.93,-78.37,2.77,105.01,90.77,35.60
-1.93,-84.09,10.42,104.84,90.86,35.60
-1.93,-88.40,14.29,103.60,90.95,35.60
-1.93,-92.00,15.78,101.32,90.95,35.48
-1.93,-94.29,15.96,98.86,91.21,35.36
-1.93,-95.60,15.96,96.84,91.21,35.17
-1.85,-96.04,16.04,95.60,91.21,34.80
-1.85,-96.04,16.13,95.25,91.21,33.00
-1.85,-96.13,16.22,95.25,91.21,29.16
-1.93,-96.31,16.22,95.34,91.21,23.03
-1.93,-96.31,16.04,95.34,91.21,14.67
-2.20,-96.31,16.04,95.34,91.21,5.14
-1.93,-96.31,15.96,95.34,91.21,0.00
-1.85,-96.40,15.87,95.25,91.21,1.92
-1.85,-96.48,15.87,95.25,90.77,4.89
-1.85,-96.48,16.22,95.34,90.68,5.88
-1.58,-96.22,16.31,95.69,90.68,6.13
0.18,-95.87,16.31,95.69,90.77,6.19
5.01,-95.87,16.40,95.69,90.77,6.19
12.92,-95.78,16.57,95.78,90.77,6.19
23.21,-95.78,16.57,95.78,90.77,6.19
33.93,-95.78,16.57,95.78,90.68,6.25
44.31,-96.13,16.57,95.69,90.68,6.25
53.98,-96.13,16.57,95.78,90.68,6.25
61.89,-95.78,16.66,95.87,90.68,6.25
69.10,-95.69,17.01,95.87,90.68,6.25
75.16,-96.31,18.33,95.43,91.03,6.25
79.82,-96.40,18.95,95.25,91.03,6.25
83.08,-96.66,19.47,95.34,91.21,6.25
85.01,-96.22,19.82,95.60,91.21,6.25
85.80,-96.04,20.88,95.34,91.21,6.25
86.07,-95.60,23.08,95.34,91.21,6.25
86.15,-94.73,27.65,95.25,91.21,6.25
86.15,-93.85,34.15,95.16,91.21,6.25
86.07,-93.85,41.80,94.81,91.21,6.25
85.80,-94.29,49.01,93.23,91.21,6.25
85.80,-95.78,56.04,90.59,91.21,6.25
85.98,-98.42,63.16,87.16,91.21,6.25
86.07,-101.14,70.73,84.18,91.21,6.25
86.07,-103.87,78.90,81.71,91.21,6.25
85.98,-105.89,87.16,79.52,91.21,6.25
85.89,-107.21,95.60,77.67,91.21,6.25
